title,nivel,weather,basic,adventurous,style,fit,color_name
Bykiko Skirt knit ,1,cold,false,three,street,tight,blue_dark
Bylola Jeans zipper,1,cold,false,three,street,tight,blue
Bylola Jeans zipper,1,cold,false,three,street,tight,black
Bylola Jeans zipper,1,cold,false,three,street,tight,blue_dark
Bylola Jeans zipper,1,cold,false,three,street,tight,black
Bymalea Sweater basic ,2,both,false,two three,minimal classic,loose,blue_light
Bymalea Sweater basic ,2,both,false,two three,minimal classic,loose,blue_light
Bymalea Sweater rollneck,2,cold,false,two,boho casual,loose,black
Bymalea Sweater rollneck,2,cold,false,two,boho casual,loose,brown_ecru
Bymasja Sweater vneck,2,cold,false,two,casual boho,straight,green_khaki
Bymasja Sweater vneck,2,cold,false,two,casual boho,straight,yellow_mustand
Bymasja Sweater vneck,2,cold,false,two,casual boho,straight,brown_ecru
Bymasja Sweater vneck,2,cold,false,two,casual boho,straight,pink
Bymoni Cardigan young ,3,cold,false,three,boho casual,straight,brown_taupe
Bynian Sweater oneck,2,cold,false,two three,boho casual,loose,white
Bypimba Cardigan long ,3,cold,false,two,boho classic,straight,white
Bypimba Cardigan long ,3,cold,false,two,boho classic,straight,brown_beige
Bypimba Cardigan long ,3,cold,false,two,boho classic,straight,blue_klein
Byrydra Skirt young ,1,warm,false,three,classic street,tight,blue_light
Bytollis T-shirt solid ,2,cold,false,two,classic,straight,green
Bytudella Shirt v-neck ,2,cold,false,three,minimal night,straight,blue_dark
Bytudella Shirt v-neck ,2,cold,false,three,minimal night,straight,pink
Cable Sweater casual ,2,cold,false,two,classic boho,straight,pink
Cable Sweater casual ,2,cold,false,two,classic boho,straight,black
Cable Sweater mini ,2,cold,false,two,classic casual,tight,white
Callipo Dress animal ,1,both,false,three four,boho,straight,black
Callipo Dress animal ,1,both,false,three four,boho,straight,white
Callipso Skirt film ,1,warm,false,four,boho classic,straight,green_khaki
Came Skirt print ,1,both,false,two three,boho street,straight,yellow_mustand
Camilla Top lindex ,2,warm,false,two,boho classic,loose,orange_rust
Candy Cardigan street ,3,cold,false,two,boho casual,straight,green
Candy Sweater shirt ,2,cold,false,one,classic,tight,black
Caprice Shirt print,2,both,false,three,boho classic,straight,blue_dark
Cara Skirt leopard ,1,both,false,three four,street classic,loose,garnet
Caralie Shirt solid ,2,warm,false,two three,classic minimal,loose,green_dark
Caralie Shirt solid ,2,warm,false,two three,classic minimal,loose,green_khaki
Caramel Coat jcz,3,cold,false,two,boho classic,straight,black
Caraugusta Jeans skinny,1,both,false,two,casual classic,tight,blue_dark
Caravana Jacket biker,3,cold,false,three four,street,tight,garnet
Caravana Jacket biker,3,cold,false,three four,street,tight,green_khaki
Caravana Jacket biker,3,cold,false,three four,street,tight,yellow_mustand
Caravana Jakect biker ,3,cold,false,two three,casual street,tight,pink
Carawesome Pant aw ,1,cold,false,two,classic minimal,straight,black
Carcarma Jeans sk ,1,cold,false,three,street,tight,white
Cardemi Coat nylon ,3,cold,false,two,casual,straight,blue
Cardemi Coat nylon ,3,cold,false,two,casual,straight,yellow_mustand
Cardemi Jacket nylon,3,cold,false,two,classic casual,tight,brown_beige
Cardemi Jacket nylon,3,cold,false,two,classic casual,tight,green_light
Carirena Parka merlot ,3,cold,false,three,casual,straight,orange_rust
Carirena Parka merlot ,3,cold,false,three,casual,straight,blue_dark
Carlaura Dress stripes ,1,cold,false,two,boho casual,straight,blue_dark
Carlaura Dress stripes ,1,cold,false,two,boho casual,straight,green_pistachio
Carluxeve Top snake ,2,warm,false,two three,street,straight,blue_dark
Caro Jeans gj ,1,cold,false,two,casual,straight,yellow_mustand
Caro Jeans vintage,1,both,false,two three,casual street,tight,yellow_mustand
Carstorm Jeans noos ,1,both,false,two,casual street,tight,white
Carstorm Jeans noos ,1,both,false,two,casual street,tight,blue
Carth Jeans noss ,1,both,false,two,street casual,tight,orange
Carthunder Skirt pencil ,1,both,false,two,casual street,tight,blue_dark
Carthunder Skirt pencil ,1,both,false,two,casual street,tight,red
Carthunders Jeans noos ,1,both,false,two three,street casual,tight,blue
Cartina Skirt knee,1,cold,false,two three,classic,tight,blue_dark
Caruby Parka short ,3,cold,false,two,casual,straight,brown_beige
Caruby Parka short ,3,cold,false,two,casual,straight,black
Carwilly Jeans ank,1,both,false,three,casual boho,tight,blue
Carwilly Jeans noos ,1,both,false,three,street,tight,brown_beige
Carwilly Jeans reg ,1,cold,false,two,casual street,tight,brown_light
Carwilly Jeans skinny ,1,both,false,three,street casual,tight,blue_dark
Carwilly Jeans straight ,1,both,false,three,boho street casual,tight,yellow_mustand
Casual Jeans denim ,1,cold,false,two,casual classic,straight,brown_beige
Casual Pant esprit ,1,both,false,two,street,tight,green_khaki
Casual Pant esprit ,1,both,false,two,street,tight,blue_dark
Casual Pant esprit ,1,both,false,two,street,tight,grey
Catrina Shirt fortune ,2,both,false,three four,boho street,straight,blue_dark
Celal Skirt garance ,1,cold,false,three,boho classic,straight,blue
Celal Skirt garance ,1,cold,false,three,boho classic,straight,green_khaki
Celal Skirt garance ,1,cold,false,three,boho classic,straight,yellow_mustand
Celes Pant zeze,1,cold,false,two,classic minimal,straight,orange_rust
Celes Pant zeze,1,cold,false,two,classic minimal,straight,green_light
Celes Pant zeze,1,cold,false,two,classic minimal,straight,grey_dark
Celes Pant zeze,1,cold,false,two,classic minimal,straight,gray_light
Cello Jacket long ,3,cold,false,two,street casual,straight,red
Cello Jacket long ,3,cold,false,two,street casual,straight,blue_light
Cello Jacket soul ,3,cold,false,three,street,straight,brown_beige
Cello Jacket soul ,3,cold,false,three,street,straight,black
Cello Jacket soul ,3,cold,false,three,street,straight,blue
Cello Jacket soul ,3,cold,false,three,street,straight,yellow_mustand
Cerise Dress vneck ,1,warm,false,three two,boho classic,straight,black
Cerise Dress vneck ,1,warm,false,three two,boho classic,straight,pink
Cerise Dress vneck ,1,warm,false,three two,boho classic,straight,black
Cerise Jacket print,3,warm,false,three,boho street,loose,yellow_mustand
Cerise Jacket print,3,warm,false,three,boho street,loose,orange
Cerise Jacket stripes,3,warm,false,three,boho street,loose,pink
Cerise Jacket stripes,3,warm,false,three,boho street,loose,yellow
Cerise Top okla ,2,warm,false,two three,boho classic,straight,yellow
Cerise Top okla ,2,warm,false,two three,boho classic,straight,black
Cerise Top okla ,2,warm,false,two three,boho classic,straight,blue
Cerise Top paris,2,warm,false,two,boho classic,straight,blue
Cerise Top paris,2,warm,false,two,boho classic,straight,brown_ecru
Charles Skirt welsh ,1,cold,false,three,classic street,straight,brown_beige
Charlie Sweater shine ,2,cold,false,two,street classic,tight,blue
Charlie Sweater shine ,2,cold,false,two,street classic,tight,black
Check Sweater button ,2,cold,false,three two,street classic,loose,black
Checks Jacket nana,3,cold,false,three two,classic,tight,black
Checks Jacket nana,3,cold,false,three two,classic,tight,garnet
Chelsea Jeans oasis ,1,cold,false,two,casual street,tight,blue
Chenilla Sweater clar ,2,cold,false,two three,boho casual,loose,brown_ecru
Chenilla Sweater clar ,2,cold,false,two three,boho casual,loose,brown_ecru
Chenilla Sweater clar ,2,cold,false,two three,boho casual,loose,blue
Chenilla Sweater clar ,2,cold,false,two three,boho casual,loose,black
Chenilla Sweater clar ,2,cold,false,two three,boho casual,loose,yellow_mustand
Chocolate Skirt box ,1,cold,false,two,classic,straight,brown_beige
Christmas Sweater ware ,2,cold,false,three,street,straight,blue
Chunky Cardigan long ,3,cold,false,two three,boho classic,loose,black
Clarise Shirt solid ,2,cold,false,two,classic boho,straight,yellow_mustand
Clarise Shirt solid ,2,cold,false,two,classic boho,straight,black
Classic Cardigan buttons ,3,both,false,two three,classic boho,straight,blue_dark
Classic Skirt checks,1,cold,false,three,classic minimal,straight,brown_ecru
Claudia Scarf check ,3,cold,,two three,boho street,,brown_beige
Claudine Jacket maca ,3,cold,false,two,street casual,loose,black
Cloanimal Scarf boiled ,3,cold,,three,street,,brown_beige
Cloanimal Scarf boiled ,3,cold,,three,street,,yellow_mustand
Cloanimal Scarf boiled ,3,cold,,three,street,,brown_ecru
Clochecks Scarf washed ,3,cold,,three,classic casual,,blue
Clochecks Scarf washed ,3,cold,,three,classic casual,,black
Clochecks Scarf washed ,3,cold,,three,classic casual,,blue_dark
Clochecks Scarf washed ,3,cold,,three,classic casual,,yellow_mustand
Clociguena Dress modal ,1,warm,false,two,boho classic,straight,green_light
Cloclassic Scarf raising,3,cold,,two,minimal classic,,grey_dark
Cloclassic Scarf raising,3,cold,,two,minimal classic,,green_light
Cloclassic Scarf raising,3,cold,,two,minimal classic,,black
