title,nivel,weather,basic,adventurous,style,fit,color_name
Vinorth Scarf wool ,3,cold,,one two,casual classic,,brown
Vinorth Scarf wool ,3,cold,,one two,casual classic,,gray_light
Vinorth Scarf wool ,3,cold,,one two,casual classic,,orange_rust
Vinyla Cardigan knit ,3,warm,false,three,boho,loose,pink
Viofficiel Top strap ,2,warm,false,two three,classic,tight,black
Violet Jacket modal ,3,warm,false,two three,minimal street,oversize,black
Violet Skirt ycoo,1,warm,false,three,boho classic,straight,black
Violet Top floral ,2,both,false,three,boho,loose,black
Violina Pant chino ,1,cold,false,two,classic,straight,brown_beige
Violina Pant chino ,1,cold,false,two,classic,straight,black
Violina Pant chino ,1,cold,false,two,classic,straight,green_light
Viosk Skirt knit,1,cold,false,two three,boho classic,loose,brown
Viosk Skirt knit,1,cold,false,two three,boho classic,loose,pink
Vipen Falda poly ,1,both,false,three four,night street boho,tight,purple_aubergine
Vipen Falda poly ,1,both,false,three four,night street boho,tight,black
Vipen Falda poly ,1,both,false,three four,night street boho,tight,brown
Vipen Falda poly ,1,both,false,three four,night street boho,tight,green_dark
Vipen Falda poly ,1,both,false,three four,night street boho,tight,orange_rust
Vipen Skirt skater,1,cold,false,three,street night,straight,black
Vipeny Skirt fav,1,both,false,three,street night,tight,green_khaki
Vipeppa Shirt vil ,2,warm,false,two,classic,straight,blue_light
Vipeppa Shirt vil ,2,warm,false,two,classic,straight,brown_ecru
Vipinja Tshirt stripe ,2,warm,false,two three,casual boho,loose,blue_dark
Vipinja Tshirt stripe ,2,warm,false,two three,casual boho,loose,green_khaki
Vipoco Cardigan knit,3,cold,false,three four,boho,loose,brown_taupe
Viprime Dress noos ,1,warm,false,two,classic,loose,black
Viprime Dress noos ,1,warm,false,two,classic,loose,blue_klein
Viprime Dress noos ,1,warm,false,two,classic,loose,blue_light
Viprimera Dress stripes,1,warm,false,two three,street,straight,blue_dark
Viprimera Dress stripes,1,warm,false,two three,street,straight,garnet_brick
Virasha Shirt boat ,2,both,false,three,boho classic,loose,black
Virasha Shirt boat ,2,both,false,three,boho classic,loose,white
Virau Skirt flounce ,1,both,false,two,classic,straight,black
Virau Skirt flounce ,1,both,false,two,classic,straight,orange_rust
Virau T-shirt solid,2,warm,false,two,boho classic,straight,black
Virau T-shirt solid,2,warm,false,two,boho classic,straight,orange_rust
Virginia Scarf closet ,3,both,,two,boho,,yellow_mustand
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,purple_aubergine
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,brown_beige
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,black
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,blue_dark
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,blue_klein
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,blue_light
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,blue_turquoise
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,brown
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,brown_light
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,orange_coral
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,gray_light
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,green_dark
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,yellow_mustand
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,pink
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,red
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,pink_salmon
Viril Cardigan knit ,3,cold,false,two,casual boho,straight,brown_taupe
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,purple_aubergine
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,brown_beige
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,black
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,blue_dark
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,blue_klein
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,blue_light
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,blue_petrol
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,blue_turquoise
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,brown_light
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,gray_light
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,red
Viril Cardigan noos,3,cold,false,two three,boho casual,straight,pink_salmon
Viril Dress noos ,1,cold,true,one,classic minimal,straight,blue_dark
Viril Dress noos ,1,cold,true,one,classic minimal,straight,gray_light
Viril Sweater neck,2,cold,true,two one,classic minimal,straight,blue_klein
